,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,XLM,XRP,Total,Invested
2020-09-24,12.9488752,423.98780999999997,1005.0593876938319,11.086493964361123,301.1397884,77.42027999999999,1233.23368,5.5198228,273.80266399999994,3344.198802058193,2437.3594685565927
2020-09-25,15.2160714,424.748635,1001.2094603885266,11.393044788395407,303.78377150000006,84.21977000000001,1263.689,5.855354,284.330025,3394.4451320769217,2432.0337512956316
2020-09-26,15.0021558,434.6688825,1006.1468005837509,11.387767481154688,305.8997238,81.08424,1265.52699,5.800823100000001,284.61982499999993,3410.137208264905,2437.5227302092067
2020-09-27,15.891944,449.63769,1008.7101069733565,11.360494765761684,308.44804320000003,84.63676,1264.80578,5.755142800000001,286.156964,3435.402925739118,2437.3594685565927
2020-09-28,15.620721999999997,439.51774750000004,994.1343003718512,11.089627029657803,303.2000829,80.05036,1232.44849,5.701641399999999,281.507837,3363.2708082015088,2451.648023089359
2020-09-29,15.753402,446.11266,1008.0708780798429,11.191622546270633,308.3436279,79.00074000000001,1245.62508,5.7715727999999995,283.756011,3403.6255943261135,2450.9855491565354
2020-09-30,15.739308000000001,442.29939,998.2359497310887,10.990038008139065,307.12217250000003,76.593309,1256.04024,5.8122129,281.37505500000003,3394.2076751392283,2446.2321261221696
2020-10-01,15.2628672,443.94098,986.6643373278581,10.980775850268003,302.23559520000003,75.02997599999999,1260.3074399999998,5.693996,278.12232,3378.238287578126,2452.623608892245
2020-10-02,14.4007288,425.71398500000004,978.2911309601751,10.792609215108563,294.7845934,71.46861799999999,1218.5411,5.5006876,271.94053399999996,3291.433986975284,2452.734558090636
2020-10-03,14.482652799999999,424.18972749999995,976.7999319644284,10.83016730558101,295.3829263,71.955247,1236.80116,5.5078485,270.96751499999993,3306.917176370009,2451.7515828196792
2020-10-04,15.044295199999999,428.95501,988.8433105187459,10.98877134692049,301.0070536,72.93827199999998,1269.0808899999997,5.6606374,288.77871,3381.296950065666,2452.699058634243
2020-10-05,15.0374196,427.936425,994.4130067690804,10.862857590657692,300.2225919,74.26057800000001,1251.998755,5.655632499999999,289.77685099999997,3370.1641173597377,2451.818849486368
2020-10-06,14.4573996,427.406895,984.6031140140204,10.860856298176587,291.7401762,68.240358,1252.902,5.6318334,286.681098,3342.5237305121977,2447.0924066257558
2020-10-07,14.5615716,433.1461724999999,988.8847167819664,10.806529590816952,291.9211416,69.74766000000001,1265.71032,5.614764299999999,289.856673,3370.2495493727833,2455.990560700339
2020-10-08,14.9161152,452.65578,1009.6372748573696,10.860520958083084,298.76984939999994,74.01533699999999,1279.1435999999999,5.6616816000000005,291.77172599999994,3437.4318850154527,2441.412101415573
2020-10-09,15.565758,455.52506999999997,1013.4104762487366,10.966291737767811,308.4555474,79.9032,1284.559185,5.76225,291.562167,3465.7099453865044,2438.502139853989
2020-10-10,16.104247999999995,455.3787,1034.7235349830567,10.981051001113956,312.91137239999995,80.75151999999999,1312.67276,5.935083199999999,292.4556,3521.9138695841702,2438.173875493422
2020-10-11,16.36905,459.2556,1042.9031609133276,11.026965723724203,316.313063,83.38225,1358.32375,5.928977499999999,294.41235,3587.9151671370523,2446.921121674648
2020-10-12,16.788539999999998,459.2700599999999,1054.99835857103,10.987344001907116,325.94528779999996,87.62237999999999,1357.38029,5.950349199999999,294.37440000000004,3613.317009572937,2438.779503863516
2020-10-13,16.917264,490.6897349999999,1055.843583650316,10.981285309256211,324.6689424,85.20599999999999,1353.1100099999999,5.915620199999999,298.02734999999996,3641.359790559572,2442.3580185412666
2020-10-14,16.49084,499.00202999999993,1050.1787643761782,10.928719674791466,321.00036539999996,83.91834,1342.8860899999997,5.7032106,287.93469,3618.0430500509688,2443.051817618951
2020-10-15,16.551304,508.25067999999993,1064.9764988046957,10.816233494772723,322.1446843999999,83.377,1344.54138,5.7425424,285.979232,3642.379555099468,2431.915371819573
2020-10-16,16.152156,485.243505,1047.9963293506423,10.856545243320676,311.79091680000005,82.15722000000001,1292.2112700000002,6.1257168,279.29575800000003,3531.8294171939638,2437.42839416435
2020-10-17,16.48512,475.81343999999996,1054.3351651805594,10.79397852049037,315.05474879999997,82.65888000000001,1277.24688,6.3483263999999995,280.63584000000003,3519.3723789010496,2456.9183080449598
2020-10-18,16.659888,483.45087,1064.9574593413813,10.782888651628914,322.55420119999997,84.85063999999998,1290.24938,6.1598152,281.77547999999996,3561.44062239301,2446.5693434214486
